GUID,DVN_ADDR,DVN_NAME,ROLE,DVN_FEE_WEI,DVN_FEE_WEI_CLEAN,DVN_FEE_ETH,DVN_FEE_IF_REQUIRED_ETH,DVN_FEE_IF_OPTIONAL_ETH,DVN_FEE_ETH_NUM,DVN_FEE_IF_REQUIRED_ETH_NUM,DVN_FEE_IF_OPTIONAL_ETH_NUM
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc,Google Cloud,required,16507618977267,16507618977267,0.000016507618977267,0.000016507618977267,,1.65076189772e-05,1.65076189772e-05,
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0x133e9fb2d339d8428476a714b1113b024343811e,BitGo,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,optional,16355226302797,16355226302797,0.000016355226302797,,0.000016355226302797,1.63552263027e-05,,1.63552263027e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xa7b5189bca84cd304d8553977c7c614329750d99,Horizen,optional,17193386012384,17193386012384,0.000017193386012384,,0.000017193386012384,1.71933860123e-05,,1.71933860123e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xb3ce0a5d132cd9bf965aba435e650c55edce0062,BCW Group,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xc2a0c36f5939a14966705c7cec813163faeea1f0,Deutsche Telekom,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xcdf31d62140204c08853b547e64707110fbc6680,Stargate,optional,16507618977267,16507618977267,0.000016507618977267,,0.000016507618977267,1.65076189772e-05,,1.65076189772e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b,BWare,optional,16355226302797,16355226302797,0.000016355226302797,,0.000016355226302797,1.63552263027e-05,,1.63552263027e-05
0x29fbb42a52d2da2dea4d32d7dc6247948c54f3642d756c76bb729d88449a77fa,0xeede111103535e473451311e26c3e6660b0f77e1,Omni X,optional,16888600663443,16888600663443,0.000016888600663443,,0.000016888600663443,1.68886006634e-05,,1.68886006634e-05
0x30669fcea545c097a782d15143b911ffa5d512eb20ded2caa99d88e24696558e,0x554833698ae0fb22ecc90b01222903fd62ca4b47,Canary,required,2312520000000,2312520000000,0.00000231252,0.00000231252,,2.31252e-06,2.31252e-06,
0x30669fcea545c097a782d15143b911ffa5d512eb20ded2caa99d88e24696558e,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f,P2P,required,2312520000000,2312520000000,0.00000231252,0.00000231252,,2.31252e-06,2.31252e-06,
